['mean', 8, 'relu', 'adam', 10, 1164.9283027935028]
['norm', 32, 'relu', 'adam', 50, 63.12083652377129]
['norm', 32, 'relu', 'adam', 100, 50.062684868574145]
['norm', 32, 'relu', 'rmsprop', 10, 27.57199196577072]
['norm', 32, 'relu', 'rmsprop', 50, 25.735058162212372]
['norm', 32, 'relu', 'rmsprop', 100, 25.736586581468583]
['norm', 32, 'relu', 'sgd', 10, 75.39683694124221]
['norm', 32, 'relu', 'sgd', 50, 49.06354949295521]
['norm', 32, 'relu', 'sgd', 100, 31.101001665592193]
['least squares', 8, 'relu', 'adam', 10, 80.82576147556306]
['least squares', 8, 'relu', 'adam', 50, 74.06357646763325]
['least squares', 8, 'relu', 'adam', 100, 69.40013087511062]
['least squares', 8, 'relu', 'rmsprop', 10, 47.778363940119746]
['least squares', 8, 'relu', 'rmsprop', 50, 32.70559758067131]
['least squares', 8, 'relu', 'rmsprop', 100, 28.697948085069655]
['least squares', 8, 'relu', 'sgd', 10, 77.42371592521667]
['least squares', 8, 'relu', 'sgd', 50, 61.99536708056927]
['least squares', 8, 'relu', 'sgd', 100, 43.12606963455677]
['least squares', 16, 'relu', 'adam', 10, 79.35864819049836]
['least squares', 16, 'relu', 'adam', 50, 70.58809685230256]
['least squares', 16, 'relu', 'adam', 100, 61.21978763595224]
['least squares', 16, 'relu', 'rmsprop', 10, 34.76601017355919]
['least squares', 16, 'relu', 'rmsprop', 50, 26.51307193517685]
['least squares', 16, 'relu', 'rmsprop', 100, 25.76980248570442]
['least squares', 16, 'relu', 'sgd', 10, 76.3727069759369]
['least squares', 16, 'relu', 'sgd', 50, 54.536731482744216]
['least squares', 16, 'relu', 'sgd', 100, 38.269708178043366]
['least squares', 32, 'relu', 'adam', 10, 78.87402013301849]
['least squares', 32, 'relu', 'adam', 50, 64.19496833324432]
['least squares', 32, 'relu', 'adam', 100, 49.881150347292426]
['least squares', 32, 'relu', 'rmsprop', 10, 26.619361432790758]
['least squares', 32, 'relu', 'rmsprop', 50, 25.59940105676651]
['least squares', 32, 'relu', 'rmsprop', 100, 25.080049455165863]
['least squares', 32, 'relu', 'sgd', 10, 76.25668227076531]
['least squares', 32, 'relu', 'sgd', 50, 50.86927462756634]
['least squares', 32, 'relu', 'sgd', 100, 31.20866004884243]
['stochastic', 8, 'relu', 'adam', 10, 80.21049343585968]
['stochastic', 8, 'relu', 'adam', 50, 74.43293964982033]
['stochastic', 8, 'relu', 'adam', 100, 66.71507685512304]
['stochastic', 8, 'relu', 'rmsprop', 10, 48.2634818059206]
['stochastic', 8, 'relu', 'rmsprop', 50, 33.64012028336525]
['stochastic', 8, 'relu', 'rmsprop', 100, 28.32361714720726]
['stochastic', 8, 'relu', 'sgd', 10, 76.95231337547303]
['stochastic', 8, 'relu', 'sgd', 50, 61.13103976786137]
['stochastic', 8, 'relu', 'sgd', 100, 43.79801538348198]
['stochastic', 16, 'relu', 'adam', 10, 79.91334140539169]
['stochastic', 16, 'relu', 'adam', 50, 70.39420686781406]
['stochastic', 16, 'relu', 'adam', 100, 61.30082626223564]
['stochastic', 16, 'relu', 'rmsprop', 10, 35.392857243418696]
['stochastic', 16, 'relu', 'rmsprop', 50, 26.342664753198623]
['stochastic', 16, 'relu', 'rmsprop', 100, 25.97944047689438]
['stochastic', 16, 'relu', 'sgd', 10, 75.89265573978425]
['stochastic', 16, 'relu', 'sgd', 50, 54.377007729560134]
['stochastic', 16, 'relu', 'sgd', 100, 37.36280219197273]
['stochastic', 32, 'relu', 'adam', 10, 79.06394558906555]
['stochastic', 32, 'relu', 'adam', 50, 63.71008363932371]
['stochastic', 32, 'relu', 'adam', 100, 50.144514283686874]
['stochastic', 32, 'relu', 'rmsprop', 10, 27.118406247496605]
['stochastic', 32, 'relu', 'rmsprop', 50, 25.675226942300796]
['stochastic', 32, 'relu', 'rmsprop', 100, 25.15681966304779]
['stochastic', 32, 'relu', 'sgd', 10, 76.25792549133301]
['stochastic', 32, 'relu', 'sgd', 50, 50.396402756273744]
['stochastic', 32, 'relu', 'sgd', 100, 31.37498886525631]
